"Key","Recommendation","Reason","CISTicket"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\Registration Wizard Control:NoRegistration","18.8.22.1.5","Outdated key in benchmark, https://admx.help/?Category=Windows_10_2016&Policy=Microsoft.Policies.InternetCommunicationManagement::NC_NoRegistration","#11312"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVNoBitLockerToGoReader","18.9.11.3.1","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVEnforcePassphrase","18.9.11.1.14","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVPassphraseComplexity","18.9.11.1.14","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVPassphraseLength","18.9.11.1.14","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:OSPassphraseComplexity","18.9.11.2.15","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:OSPassphraseLength","18.9.11.2.15","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:OSPassphraseASCIIOnly","18.9.11.2.15","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:RDVNoBitLockerToGoReader","18.9.11.3.1","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:RDVEnforcePassphrase","18.9.11.3.14","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:RDVPassphraseComplexity","18.9.11.3.14","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:RDVPassphraseLength","18.9.11.3.14","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:UseTPM","18.9.11.2.16","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:UseTPMPIN","18.9.11.2.16","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:UseTPMKey","18.9.11.2.16","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:UseTPMKeyPIN","18.9.11.2.16","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:1","18.8.7.1.4","Benchmark has incomplete information about the change"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:2","18.8.7.1.4","Benchmark has incomplete information about the change"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:3","18.8.7.1.4","Benchmark has incomplete information about the change"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:4","18.8.7.1.4","Benchmark has incomplete information about the change"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\MicrosoftEdge\Security:FlashClickToRunMode","18.9.45.9","Typo in benchmark audit procedure","#11313"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}:NoBackgroundPolicy","18.8.21.2","Benchmark has a typo. '\NoBackgroundPolicy' vs ':NoBackgroundPolicy'","#11235"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}:NoGPOListChanges","18.8.21.3","Benchmark has a typo. '\NoGPOListChanges' vs ':NoGPOListChanges'","#11314"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\HomeGroup:DisableHomeGroup","18.9.35.1","Benchmark has a typo. '\DisableHomeGroup' vs ':DisableHomeGroup'","#11236"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging:EnableScriptBlockInvocationLogging","18.9.95.1","Outdated key in benchmark, https://admx.help/?Category=Windows_10_2016&Policy=Microsoft.Policies.PowerShell::EnableScriptBlockLogging"
"HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters:DisabledComponents","18.5.19.2.1","Registry key is missing from audit procedure cell of documentation","#11315"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WinRM\Service:IPv6Filter","18.9.97.2.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WinRM\Service:IPv4Filter","18.9.97.2.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WCN\Registrars:HigherPrecedenceRegistrar","18.5.20.1","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\WCN\Registrars:MaxWCNDeviceNumber","18.5.20.1","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services\RAUnsolicit:","18.8.36.1","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fAllowUnsolicitedFullControl","18.8.36.1","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fUseMailto","18.8.36.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:fAllowFullControl","18.8.36.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:MaxTicketExpiry","18.8.36.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services:MaxTicketExpiryUnits","18.8.36.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:AllowMUUpdateService","18.9.102.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallFourthWeek","18.9.102.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallThirdWeek","18.9.102.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallSecondWeek","18.9.102.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallFirstWeek","18.9.102.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallEveryWeek","18.9.102.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:ScheduledInstallTime","18.9.102.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:AutomaticMaintenanceEnabled","18.9.102.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU:AUOptions","18.9.102.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\PowerShell\Transcription:EnableInvocationHeader","18.9.95.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\PowerShell\Transcription:OutputDirectory","18.9.95.2","These are unmentioned keys impacted by the remediation steps"
"HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters:MaximumPasswordAge","2.3.6.5","Registry key is missing from audit procedure cell of documentation","#11316"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\AppHVSI:AppHVSIClipboardFileType","18.9.78.6","These are unmentioned keys impacted by the remediation steps"
"Audit Logoff","17.5.3","GPO specicies success+failure but recommendation is success"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate:PauseFeatureUpdatesStartTime","18.9.102.1.2","these keys have changed in 1703+ and the documentation is outdated. https://docs.microsoft.com/en-us/windows/deployment/update/waas-configure-wufb"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate:PauseQualityUpdatesStartTime","18.9.102.1.3","these keys have changed in 1703+ and the documentation is outdated. https://docs.microsoft.com/en-us/windows/deployment/update/waas-configure-wufb"
"RasMan","ignore","this appears in the remediation kit but not the benchmark",""
