"Key","Recommendation","Reason"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\Registration Wizard Control:NoRegistration","18.8.22.1.5"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVNoBitLockerToGoReader","18.9.11.3.1"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVEnforcePassphrase","18.9.11.1.14"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVPassphraseComplexity","18.9.11.1.14"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:FDVPassphraseLength","18.9.11.1.14"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:OSPassphraseComplexity","18.9.11.2.15"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:OSPassphraseLength","18.9.11.2.15"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:OSPassphraseASCIIOnly","18.9.11.2.15"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:RDVNoBitLockerToGoReader","18.9.11.3.1"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:RDVEnforcePassphrase","18.9.11.3.14"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:RDVPassphraseComplexity","18.9.11.3.14"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:RDVPassphraseLength","18.9.11.3.14"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:UseTPM","18.9.11.2.16"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:UseTPMPIN","18.9.11.2.16"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:UseTPMKey","18.9.11.2.16"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\FVE:UseTPMKeyPIN","18.9.11.2.16"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:1","18.8.7.1.4"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:2","18.8.7.1.4"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:3","18.8.7.1.4"
"HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses:4","18.8.7.1.4"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\MicrosoftEdge\Security:FlashClickToRunMode","18.9.45.9"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}:NoBackgroundPolicy","18.8.21.2"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}:NoGPOListChanges","18.8.21.2"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\HomeGroup:DisableHomeGroup","18.9.35.1"
"HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging:EnableScriptBlockInvocationLogging","18.9.95.1"
